BAND,diam_str,diameters,xh_list,yh_list,sig_array,mu_array,aper_corr,sig_array_corr,1sig_corr,5sig,5sig_corr
f1000w_deep,diam4,0.4,"[-9.78723404 -9.36170213 -8.93617021 -8.5106383  -8.08510638 -7.65957447
 -7.23404255 -6.80851064 -6.38297872 -5.95744681 -5.53191489 -5.10638298
 -4.68085106 -4.25531915 -3.82978723 -3.40425532 -2.9787234  -2.55319149
 -2.12765957 -1.70212766 -1.27659574 -0.85106383 -0.42553191  0.
  0.42553191  0.85106383  1.27659574  1.70212766  2.12765957  2.55319149
  2.9787234   3.40425532  3.82978723  4.25531915  4.68085106  5.10638298
  5.53191489  5.95744681  6.38297872  6.80851064  7.23404255  7.65957447
  8.08510638  8.5106383   8.93617021  9.36170213  9.78723404]","[0.00686633 0.0094412  0.00514974 0.00686633 0.00600804 0.01802411
 0.01974069 0.01716581 0.01716581 0.02145727 0.02918188 0.03948137
 0.05235573 0.05836377 0.07552958 0.07123813 0.06952155 0.0832542
 0.09097882 0.11501096 0.11758583 0.11672754 0.13303506 0.11758583
 0.12273557 0.09784514 0.09698685 0.09612856 0.09441198 0.08411249
 0.06608839 0.05493061 0.04892257 0.05493061 0.04205625 0.03776479
 0.02317385 0.01802411 0.02231556 0.0188824  0.00858291 0.0188824
 0.00772462 0.01115778 0.01029949 0.01115778 0.00514974]",4.784452537203515,-0.0781337184217204,0.50444,9.484681106184116,28.957443165932162,27.952994362547564,27.210018155092115
f1000w,diam4,0.4,"[-9.78723404 -9.36170213 -8.93617021 -8.5106383  -8.08510638 -7.65957447
 -7.23404255 -6.80851064 -6.38297872 -5.95744681 -5.53191489 -5.10638298
 -4.68085106 -4.25531915 -3.82978723 -3.40425532 -2.9787234  -2.55319149
 -2.12765957 -1.70212766 -1.27659574 -0.85106383 -0.42553191  0.
  0.42553191  0.85106383  1.27659574  1.70212766  2.12765957  2.55319149
  2.9787234   3.40425532  3.82978723  4.25531915  4.68085106  5.10638298
  5.53191489  5.95744681  6.38297872  6.80851064  7.23404255  7.65957447
  8.08510638  8.5106383   8.93617021  9.36170213  9.78723404]","[0.01577843 0.01676458 0.03747377 0.01775073 0.02070919 0.03155686
 0.03451532 0.0512799  0.05621066 0.04832144 0.0512799  0.05916911
 0.06607218 0.05621066 0.07001679 0.06903063 0.07494755 0.0759337
 0.06409987 0.07691985 0.0759337  0.07297524 0.08776752 0.07001679
 0.08480906 0.077906   0.06607218 0.07396139 0.06607218 0.0512799
 0.0532522  0.05916911 0.06705833 0.06015527 0.03747377 0.04339068
 0.03550147 0.04339068 0.03747377 0.03155686 0.02563995 0.02859841
 0.02859841 0.02169534 0.02070919 0.01479228 0.02070919]",6.321906824272265,-0.33905316795895984,0.50444,12.532524828071256,28.654903565842993,27.650454762458388,26.907478555002946
f770w,diam4,0.4,"[-9.78723404 -9.36170213 -8.93617021 -8.5106383  -8.08510638 -7.65957447
 -7.23404255 -6.80851064 -6.38297872 -5.95744681 -5.53191489 -5.10638298
 -4.68085106 -4.25531915 -3.82978723 -3.40425532 -2.9787234  -2.55319149
 -2.12765957 -1.70212766 -1.27659574 -0.85106383 -0.42553191  0.
  0.42553191  0.85106383  1.27659574  1.70212766  2.12765957  2.55319149
  2.9787234   3.40425532  3.82978723  4.25531915  4.68085106  5.10638298
  5.53191489  5.95744681  6.38297872  6.80851064  7.23404255  7.65957447
  8.08510638  8.5106383   8.93617021  9.36170213  9.78723404]","[0.00266541 0.00088847 0.00177694 0.00177694 0.00177694 0.00177694
 0.00088847 0.00533081 0.00621928 0.01243856 0.00710775 0.01865784
 0.01954631 0.028431   0.03820416 0.05330813 0.05064272 0.08351607
 0.12172023 0.14659735 0.16436673 0.16969754 0.20345936 0.19013233
 0.17858223 0.17502836 0.13771267 0.13327032 0.10839319 0.06219282
 0.05508507 0.04975425 0.03287335 0.02310019 0.0142155  0.00977316
 0.00621928 0.00710775 0.00710775 0.00266541 0.00266541 0.00444234
 0.00266541 0.00355388 0.00177694 0.00088847 0.        ]",2.592670565323959,-0.10721660731894243,0.635095,4.0823350291278615,29.872728391179436,28.61820664628322,28.12530338033939
f560w_60mas_v2,diam4,0.4,"[-9.78723404 -9.36170213 -8.93617021 -8.5106383  -8.08510638 -7.65957447
 -7.23404255 -6.80851064 -6.38297872 -5.95744681 -5.53191489 -5.10638298
 -4.68085106 -4.25531915 -3.82978723 -3.40425532 -2.9787234  -2.55319149
 -2.12765957 -1.70212766 -1.27659574 -0.85106383 -0.42553191  0.
  0.42553191  0.85106383  1.27659574  1.70212766  2.12765957  2.55319149
  2.9787234   3.40425532  3.82978723  4.25531915  4.68085106  5.10638298
  5.53191489  5.95744681  6.38297872  6.80851064  7.23404255  7.65957447
  8.08510638  8.5106383   8.93617021  9.36170213  9.78723404]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.00082283 0.00082283 0.00164566 0.00082283
 0.00493697 0.00987395 0.01234244 0.02468487 0.05019258 0.07076331
 0.09956232 0.16538866 0.19171919 0.22956933 0.25754552 0.23697479
 0.24191176 0.19089636 0.1497549  0.12753852 0.08639706 0.06747199
 0.03702731 0.03126751 0.02221639 0.00987395 0.00822829 0.00493697
 0.00658263 0.00246849 0.00164566 0.00164566 0.00082283 0.
 0.00082283 0.         0.         0.00082283 0.        ]",1.7218999912643393,-0.027620087320608642,0.69321,2.483951459535118,30.412142238088503,29.062555179587875,28.664717227248456
f560w_60mas_v1,diam4,0.4,"[-9.78723404 -9.36170213 -8.93617021 -8.5106383  -8.08510638 -7.65957447
 -7.23404255 -6.80851064 -6.38297872 -5.95744681 -5.53191489 -5.10638298
 -4.68085106 -4.25531915 -3.82978723 -3.40425532 -2.9787234  -2.55319149
 -2.12765957 -1.70212766 -1.27659574 -0.85106383 -0.42553191  0.
  0.42553191  0.85106383  1.27659574  1.70212766  2.12765957  2.55319149
  2.9787234   3.40425532  3.82978723  4.25531915  4.68085106  5.10638298
  5.53191489  5.95744681  6.38297872  6.80851064  7.23404255  7.65957447
  8.08510638  8.5106383   8.93617021  9.36170213  9.78723404]","[0.         0.         0.         0.         0.         0.00091191
 0.         0.         0.         0.00182383 0.00182383 0.00455957
 0.0072953  0.01823826 0.02006209 0.04012418 0.07568879 0.07933644
 0.10122235 0.17873496 0.1951494  0.18420644 0.19697322 0.20974001
 0.18967792 0.21429957 0.16505627 0.14134653 0.08845557 0.08207218
 0.05380287 0.03282887 0.02553357 0.01915017 0.00638339 0.00547148
 0.00364765 0.00547148 0.         0.         0.00091191 0.
 0.         0.         0.         0.         0.        ]",1.8670673381399223,-0.06035321349021093,0.69321,2.6933646919979837,30.324262093635213,28.974675035134588,28.576837082795166
f560w_40mas_v2,diam4,0.4,"[-9.78723404 -9.36170213 -8.93617021 -8.5106383  -8.08510638 -7.65957447
 -7.23404255 -6.80851064 -6.38297872 -5.95744681 -5.53191489 -5.10638298
 -4.68085106 -4.25531915 -3.82978723 -3.40425532 -2.9787234  -2.55319149
 -2.12765957 -1.70212766 -1.27659574 -0.85106383 -0.42553191  0.
  0.42553191  0.85106383  1.27659574  1.70212766  2.12765957  2.55319149
  2.9787234   3.40425532  3.82978723  4.25531915  4.68085106  5.10638298
  5.53191489  5.95744681  6.38297872  6.80851064  7.23404255  7.65957447
  8.08510638  8.5106383   8.93617021  9.36170213  9.78723404]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.00088512 0.00088512
 0.00442561 0.00265537 0.01947269 0.02389831 0.05399247 0.06549906
 0.10621469 0.16640301 0.21242938 0.20888889 0.24340866 0.2487194
 0.23986817 0.2212806  0.18410546 0.11772128 0.07080979 0.06107345
 0.05399247 0.01239171 0.01504708 0.00354049 0.00708098 0.00177024
 0.00088512 0.00088512 0.         0.         0.00088512 0.
 0.         0.00088512 0.         0.         0.        ]",1.5922570202548478,-0.08993603128971653,0.69321,2.2969331375122226,30.497129116749182,29.147542058248558,28.749704105909135
f560w_40mas_v1,diam4,0.4,"[-9.78723404 -9.36170213 -8.93617021 -8.5106383  -8.08510638 -7.65957447
 -7.23404255 -6.80851064 -6.38297872 -5.95744681 -5.53191489 -5.10638298
 -4.68085106 -4.25531915 -3.82978723 -3.40425532 -2.9787234  -2.55319149
 -2.12765957 -1.70212766 -1.27659574 -0.85106383 -0.42553191  0.
  0.42553191  0.85106383  1.27659574  1.70212766  2.12765957  2.55319149
  2.9787234   3.40425532  3.82978723  4.25531915  4.68085106  5.10638298
  5.53191489  5.95744681  6.38297872  6.80851064  7.23404255  7.65957447
  8.08510638  8.5106383   8.93617021  9.36170213  9.78723404]","[0.         0.         0.         0.         0.         0.00098244
 0.00098244 0.         0.         0.00098244 0.         0.00294732
 0.00687709 0.01277174 0.02750836 0.04126254 0.04715719 0.0805602
 0.10020903 0.14736622 0.20729515 0.21417224 0.27311873 0.26231187
 0.22006689 0.18175167 0.14048913 0.13950669 0.08743729 0.05403428
 0.04126254 0.02554348 0.0117893  0.01080686 0.00392977 0.00196488
 0.00294732 0.00196488 0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.680716839386759,-0.16282195040460318,0.69321,2.4245421147801665,30.438425669252887,29.088838610752266,28.69100065841284
f560w_dja,diam4,0.4,"[-9.78723404 -9.36170213 -8.93617021 -8.5106383  -8.08510638 -7.65957447
 -7.23404255 -6.80851064 -6.38297872 -5.95744681 -5.53191489 -5.10638298
 -4.68085106 -4.25531915 -3.82978723 -3.40425532 -2.9787234  -2.55319149
 -2.12765957 -1.70212766 -1.27659574 -0.85106383 -0.42553191  0.
  0.42553191  0.85106383  1.27659574  1.70212766  2.12765957  2.55319149
  2.9787234   3.40425532  3.82978723  4.25531915  4.68085106  5.10638298
  5.53191489  5.95744681  6.38297872  6.80851064  7.23404255  7.65957447
  8.08510638  8.5106383   8.93617021  9.36170213  9.78723404]","[0.         0.         0.00098285 0.00098285 0.00098285 0.00098285
 0.00098285 0.00491426 0.00491426 0.00589711 0.00884567 0.01572564
 0.02751987 0.03734839 0.04521121 0.05897114 0.09238812 0.09828524
 0.13858218 0.12875366 0.14349645 0.17494772 0.16020494 0.18084483
 0.15627353 0.15725638 0.13759933 0.12678795 0.08550816 0.08845671
 0.0825596  0.04422836 0.03538269 0.03341698 0.02358846 0.01277708
 0.01179423 0.00687997 0.00687997 0.00294856 0.0019657  0.0019657
 0.         0.00098285 0.00098285 0.         0.        ]",2.386423957631497,-0.12792911379699307,0.69321,3.4425700114416946,30.057793046868866,28.708205988368242,28.31036803602882
f480m,diam4,0.4,"[-9.78723404 -9.36170213 -8.93617021 -8.5106383  -8.08510638 -7.65957447
 -7.23404255 -6.80851064 -6.38297872 -5.95744681 -5.53191489 -5.10638298
 -4.68085106 -4.25531915 -3.82978723 -3.40425532 -2.9787234  -2.55319149
 -2.12765957 -1.70212766 -1.27659574 -0.85106383 -0.42553191  0.
  0.42553191  0.85106383  1.27659574  1.70212766  2.12765957  2.55319149
  2.9787234   3.40425532  3.82978723  4.25531915  4.68085106  5.10638298
  5.53191489  5.95744681  6.38297872  6.80851064  7.23404255  7.65957447
  8.08510638  8.5106383   8.93617021  9.36170213  9.78723404]","[0.         0.0009924  0.0009924  0.         0.00496199 0.00496199
 0.0019848  0.0029772  0.00793919 0.01786318 0.02877956 0.03870355
 0.02679476 0.04068834 0.08038429 0.09824747 0.10023226 0.09824747
 0.10122466 0.12702703 0.13595861 0.12404983 0.15084459 0.13992821
 0.15084459 0.12404983 0.10519426 0.10420186 0.10420186 0.0764147
 0.0744299  0.05855152 0.05259713 0.03175676 0.03076436 0.02381757
 0.02381757 0.01290118 0.01190878 0.00893159 0.0029772  0.00694679
 0.00396959 0.0029772  0.0029772  0.0009924  0.0009924 ]",2.8821010113199805,-0.1819325422813435,0.694525,4.149744085986798,29.854946713322633,28.503301994625225,28.107521702482586
f460m,diam4,0.4,"[-9.78723404 -9.36170213 -8.93617021 -8.5106383  -8.08510638 -7.65957447
 -7.23404255 -6.80851064 -6.38297872 -5.95744681 -5.53191489 -5.10638298
 -4.68085106 -4.25531915 -3.82978723 -3.40425532 -2.9787234  -2.55319149
 -2.12765957 -1.70212766 -1.27659574 -0.85106383 -0.42553191  0.
  0.42553191  0.85106383  1.27659574  1.70212766  2.12765957  2.55319149
  2.9787234   3.40425532  3.82978723  4.25531915  4.68085106  5.10638298
  5.53191489  5.95744681  6.38297872  6.80851064  7.23404255  7.65957447
  8.08510638  8.5106383   8.93617021  9.36170213  9.78723404]","[0.00302835 0.00706615 0.00706615 0.0141323  0.0121134  0.0181701
 0.0181701  0.02119845 0.0222079  0.03936856 0.04542526 0.05350086
 0.06561426 0.04643471 0.06561426 0.06056701 0.08277491 0.10397337
 0.09185997 0.10195447 0.09791667 0.10094502 0.09993557 0.11003007
 0.10296392 0.10094502 0.11103952 0.09286942 0.07570876 0.07974656
 0.06460481 0.06258591 0.04340636 0.05047251 0.04744416 0.04441581
 0.04037801 0.02725515 0.02725515 0.020189   0.0181701  0.0161512
 0.0060567  0.01312285 0.00706615 0.00302835 0.0060567 ]",4.098126831004602,-0.18755253679417297,0.696115,5.887140531384328,29.475238992652223,28.12111150153662,27.727813981812176
